x,y,r,g,b
291,25,164,138,137
282,15,146,176,126
162,25,132,190,202
207,23,231,143,159
169,26,155,174,191
126,11,249,214,208
82,9,245,225,237
27,15,217,188,180
46,32,212,203,206
130,0,216,184,199
150,39,215,200,205
112,24,248,208,198
190,11,250,220,232
266,13,227,192,186
1,12,192,158,156
180,4,234,208,217
225,34,238,201,195
101,18,216,202,217
174,25,226,228,241
85,26,228,232,231
2,31,169,165,166
299,9,175,167,165
124,2,211,206,212
205,29,232,240,229
270,31,197,198,192
263,26,236,133,162
17,27,209,201,190
294,28,138,118,119
84,6,217,217,219
96,13,243,232,226
66,0,193,166,175
146,20,254,195,201
277,30,213,182,190
114,10,224,185,170
260,28,200,200,200
256,20,228,99,127
202,18,220,139,148
173,3,215,214,210
137,3,211,218,211
5,10,166,62,85
37,31,216,207,198
132,10,219,179,167
140,21,255,192,202
122,7,233,227,237
215,29,239,217,203
140,31,252,216,228
152,5,229,231,226
254,3,186,177,180
84,3,201,203,202
183,9,241,234,224
164,2,216,207,208
228,18,242,227,230
136,32,238,226,230
211,3,215,200,207
201,10,246,220,221
22,1,153,144,147
159,11,255,210,244
78,34,222,213,216
192,39,205,193,197
21,3,167,158,159
21,24,208,189,174
128,17,255,190,176
59,30,233,213,222
50,30,213,217,202
265,23,224,135,141
191,5,233,214,220
260,30,183,224,216
37,3,182,167,164
284,6,177,166,170
58,36,201,192,195
84,22,242,229,239
68,31,229,219,220
76,2,196,190,194
66,7,169,192,166
164,40,204,192,196
242,13,224,205,201
121,0,189,193,204
167,22,252,225,255
250,35,200,191,194
266,11,220,194,193
47,33,208,199,202
226,26,246,225,222
167,16,240,224,235
263,0,158,150,137
280,29,204,191,185
178,10,203,194,215
225,38,203,188,183
86,35,222,210,214
293,29,97,76,75
55,40,170,161,164
212,33,235,219,219
299,13,191,183,181
197,0,189,189,191
194,0,193,187,191
247,29,224,208,209
239,21,218,189,181
119,21,250,208,194
245,25,232,212,214
101,19,203,189,206
172,1,207,195,199
159,22,247,223,239
79,25,197,140,173
90,16,201,112,158
36,28,218,205,197
246,26,191,172,174
92,38,206,194,198
107,37,219,207,211
78,21,219,136,190
99,33,235,223,227
217,12,239,231,229
195,21,196,146,147
298,31,183,171,173
133,3,222,212,213
17,15,159,89,115
132,20,219,177,161
219,38,203,189,188
155,7,228,202,215
295,4,155,147,145
235,34,216,202,202
180,16,213,223,232
17,5,172,168,165
276,5,176,170,172
94,22,248,217,249
12,18,200,207,200
153,9,247,192,211
75,10,242,209,220
242,1,184,167,175
228,5,214,204,203
210,31,233,223,214
209,25,236,231,211
50,23,223,200,216
155,19,204,140,175
45,6,204,193,199
4,33,172,163,166
53,23,230,221,224
106,26,240,226,241
24,37,170,161,164
173,32,240,228,232
211,24,179,195,169
161,3,217,216,214
149,6,241,221,220
15,16,213,145,168
191,40,198,186,190
227,33,222,185,179
252,1,172,161,167
257,1,158,161,166
268,1,163,151,155
17,37,162,153,156
151,6,234,229,225
209,23,227,221,199
149,12,197,106,123
105,31,239,228,226
180,5,244,214,224
75,23,254,220,234
124,40,202,190,194
197,7,234,222,222
202,21,220,191,185
270,11,227,190,181
157,1,212,197,200
295,9,171,155,156
229,32,220,185,181
298,6,165,155,154
208,17,229,188,182
235,38,185,184,180
113,38,213,201,205
7,16,224,183,197
268,9,214,194,195
28,0,146,142,139
256,40,162,153,156
254,36,192,183,186
245,23,235,213,216
167,9,243,224,243
127,22,255,218,204
270,5,184,172,184
293,15,106,79,84
101,36,222,210,214
277,16,211,153,139
145,14,242,225,205
23,6,187,170,163
172,5,225,222,217
20,10,213,179,177
170,40,202,190,194
182,22,255,211,217
141,1,216,196,198
246,27,210,191,193
190,9,237,231,235
43,3,185,176,179
143,23,238,236,224
298,26,196,184,186
183,16,224,164,154
50,33,211,202,205
291,1,136,132,129
86,3,204,204,204
279,28,220,191,187
209,17,241,208,199
211,39,192,190,201
196,18,212,67,98
183,38,213,201,205
275,11,216,182,170
238,7,219,207,207
254,11,230,194,198
176,7,231,203,225
136,6,245,216,218
244,31,221,207,207
275,36,174,165,168
6,7,177,126,135
195,40,196,184,188
200,32,238,226,230
271,15,209,155,131
225,12,245,226,228
128,27,255,221,217
271,10,216,185,180
125,25,227,190,182
273,38,162,153,156
253,16,227,198,203
214,0,192,175,185
280,38,157,148,151
134,23,255,206,210
125,39,211,199,203
195,31,244,224,225
18,0,140,132,130
79,13,227,144,214
156,34,244,217,226
254,35,197,188,191
142,39,213,201,205
220,19,248,227,234
170,16,169,204,206
236,25,210,181,175
78,22,214,138,187
220,35,233,205,193
289,5,169,157,157
189,40,198,186,190
192,11,231,239,228
79,19,217,121,184
146,1,197,210,200
67,22,226,243,211
256,0,151,156,162
192,23,228,208,201
203,34,230,218,222
281,30,194,194,186
260,15,230,144,147
6,28,199,149,160
56,39,177,168,171
93,29,255,227,227
68,8,149,173,141
187,37,221,209,213
13,2,144,149,145
216,25,242,231,229
82,0,188,173,176
167,19,248,214,239
276,21,222,151,123
29,34,189,180,183
177,5,245,213,228
227,15,246,226,228
250,13,156,115,119
210,11,202,214,190
182,4,230,207,215
266,16,251,170,169
39,13,217,192,196
31,14,225,201,215
242,11,236,225,221
189,18,227,131,143
97,40,194,182,186
264,39,163,154,157
238,20,198,173,168
156,31,188,119,164
185,15,230,155,159
55,16,230,235,205
81,31,251,213,234
280,18,221,203,179
47,3,188,182,186
26,33,194,185,188
218,0,188,176,180
249,26,183,164,166
28,12,228,196,197
280,27,216,198,186
19,3,163,158,155
27,23,246,209,203
113,5,231,222,227
119,26,250,219,214
134,24,255,210,214
75,16,255,218,240
103,5,224,211,220
110,36,225,213,217
18,1,147,139,137
61,21,208,233,204
282,4,170,159,165
154,10,226,156,184
162,6,237,226,220
155,5,228,224,225
91,13,206,143,174
165,1,212,196,197
291,18,166,140,139
9,4,163,153,152
122,3,211,213,225
75,4,209,197,199
238,22,241,211,201
208,28,239,222,212
212,16,159,174,151
74,5,219,208,206
135,19,255,203,198
35,35,188,179,182
18,29,199,190,193
165,37,226,214,218
44,17,218,189,194
116,15,237,172,144
260,7,211,185,194
41,4,189,177,179
64,37,200,191,194
25,23,223,183,175
145,30,248,227,232
155,15,202,146,175
270,3,171,161,172
84,0,176,181,177
88,1,200,185,188
299,21,199,190,193
117,11,210,154,129
175,30,255,210,215
237,15,219,199,201
208,26,238,226,210
278,31,209,182,189
275,27,207,167,155
231,18,235,219,222
199,16,234,148,157
298,10,181,171,170
56,11,220,216,204
279,32,195,186,189
140,37,222,210,214
228,33,223,188,184
186,29,233,230,223
273,1,156,147,148
283,16,145,170,138
36,23,234,215,209
88,12,255,213,237
255,17,217,188,193
234,9,235,221,221
239,29,234,223,229
269,25,212,176,154
213,23,182,210,187
185,30,230,235,228
226,16,245,229,230
90,24,206,146,180
72,33,223,214,217
44,28,227,208,210
245,32,217,208,211
298,13,194,182,182
199,25,205,74,108
95,18,242,229,246
249,29,234,218,219
61,2,187,182,176
168,37,221,209,213
98,10,244,232,236
80,26,227,211,212
150,7,245,216,218
72,34,218,209,212
55,12,226,217,208
84,39,195,183,187
297,16,201,186,189
290,20,209,181,180
59,4,198,195,188
192,9,214,232,220
94,27,236,210,221
146,17,235,132,135
95,9,243,223,235
295,24,195,176,178
100,39,201,189,193
147,20,253,204,208
12,26,162,84,97
233,39,180,179,175
18,18,213,126,142
43,26,216,200,201
11,13,191,193,179
38,36,185,176,179
208,7,225,222,215
19,33,187,178,181
276,3,165,159,161
72,14,222,216,202
291,40,133,124,127
163,2,216,207,208
106,3,217,205,207
157,39,215,200,205
53,7,208,194,194
146,30,244,229,232
245,17,238,209,214
193,27,230,187,194
35,11,219,193,192
163,24,104,174,184
240,20,192,165,170
94,23,241,210,242
32,29,225,202,196
166,32,240,228,232
8,14,208,191,183
164,1,211,196,199
260,33,202,193,196
274,11,219,181,170
190,31,238,225,235
246,30,231,215,216
133,10,242,199,190
224,18,241,226,231
101,16,214,201,211
56,24,227,235,224
180,24,252,219,246
289,1,140,136,133
199,2,210,201,206
64,26,171,187,151
268,21,234,220,181
1,16,212,168,183
248,2,184,173,179
38,40,158,149,152
51,3,189,176,183
272,27,185,173,149
71,17,235,233,221
219,18,248,228,229
116,38,213,201,205
172,35,233,221,225
32,32,205,196,199
225,5,216,206,205
96,29,239,227,229
267,0,157,146,144
64,16,255,209,255
294,25,139,119,120
223,33,229,191,170
11,6,181,152,156
73,29,238,229,230
87,1,191,187,186
142,8,204,137,154
262,2,173,166,156
144,37,221,210,214
140,6,246,200,210
33,32,205,196,199
21,20,233,194,199
185,4,231,208,216
288,22,226,196,196
268,33,197,188,191
278,6,184,175,178
204,18,214,107,125
187,13,255,215,221
72,7,216,219,200
74,0,184,172,184
36,30,216,203,195
272,10,226,191,185
19,21,240,174,201
113,20,254,212,200
186,15,255,190,196
191,12,244,195,216
284,17,134,159,129
274,9,206,182,178
136,15,245,169,171
99,9,239,226,235
210,28,234,231,216
185,3,223,206,214
86,1,186,188,185
50,38,181,172,175
78,13,211,132,197
258,32,208,199,202
265,5,186,177,178
51,11,211,187,187
227,5,215,205,204
164,15,129,172,188
175,20,234,205,251
268,35,184,175,178
271,21,241,191,154
207,0,184,182,185
137,28,246,203,212
241,20,178,151,156
27,19,230,197,188
105,10,209,193,219
48,17,248,211,218
14,40,138,129,132
228,25,248,230,230
35,21,245,220,215
221,21,245,226,245
201,27,202,136,150
47,0,164,159,163
124,10,245,226,230
162,35,232,220,224
96,16,241,228,238
57,7,212,208,199
228,20,240,227,234
52,14,191,170,167
257,24,209,83,105
203,1,193,191,194
23,24,187,151,135
93,34,229,217,221
231,6,218,208,207
75,3,201,190,194
204,7,236,222,222
213,38,198,193,200
76,30,242,226,229
192,3,224,203,210
71,36,210,201,204
239,38,181,183,178
226,38,202,187,184
163,15,131,165,175
272,0,152,142,143
106,37,219,207,211
33,34,193,184,187
217,14,239,231,228
295,32,169,154,159
97,28,233,220,227
54,7,205,194,192
260,8,209,176,185
77,25,216,170,196
297,23,201,186,189
92,6,237,207,219
257,31,223,200,208
108,8,231,218,225
266,5,187,178,179
99,13,218,205,215
37,11,219,195,195
91,40,192,180,184
226,30,234,191,174
116,21,218,176,162
298,15,195,183,183
173,9,253,218,224
245,39,176,167,170
279,19,236,198,175
206,35,226,214,218
171,14,159,192,209
16,9,178,152,163
239,32,219,208,212
18,26,212,203,186
233,17,218,203,206
114,21,232,190,176
237,16,235,223,227
282,2,158,147,151
294,34,170,155,160
91,35,224,212,216
72,0,190,169,184
65,35,211,202,205
25,3,170,158,160
90,14,202,139,170
210,38,198,196,207
258,1,160,161,165
27,35,182,173,176
38,31,214,207,199
47,6,204,195,200
164,22,154,201,217
170,5,223,222,217
206,37,216,204,208
247,33,213,204,207
204,39,201,189,193
135,3,215,215,213
104,12,185,168,202
211,31,234,228,216
56,26,232,228,229
299,33,171,156,161
11,10,163,114,118
55,34,209,200,203
41,9,196,177,181
229,5,213,203,202
188,23,254,139,146
127,30,241,226,233
40,36,190,181,184
24,24,213,167,152
183,29,242,223,219
200,36,222,210,214
228,34,230,199,194
62,25,157,189,152
67,6,186,204,180
75,33,224,215,218
5,0,122,124,121
106,24,235,220,241
273,21,233,182,139
294,30,135,115,116
31,29,206,206,198
180,19,217,214,231
24,7,187,164,158
201,23,255,207,213
276,37,167,158,161
110,13,243,232,230
116,20,219,177,165
160,15,211,231,229
189,30,238,228,236
241,35,206,197,200
85,12,240,229,243
131,35,233,221,225
109,33,235,223,227
203,11,245,209,213
128,9,253,177,177
23,17,192,146,120
136,4,223,224,219
39,28,220,213,205
17,34,179,170,173
121,28,243,221,223
141,31,252,218,232
195,38,211,199,203
262,4,185,177,174
167,32,239,227,231
287,24,192,200,189
244,33,214,205,208
278,2,160,151,154
115,4,233,212,207
77,14,227,156,214
201,18,222,130,143
248,4,195,186,189
229,19,248,233,238
227,0,179,174,171
129,35,233,221,225
39,29,211,204,196
257,23,199,77,98
149,1,215,199,199
196,33,235,223,227
22,11,184,148,134
271,39,159,150,153
265,0,156,146,136
231,5,212,202,201
69,22,211,233,197
265,13,212,177,175
55,28,234,216,228
104,9,196,181,204
177,21,172,131,201
4,24,142,60,72
74,17,254,221,230
47,1,170,165,169
90,22,205,137,178
31,15,218,194,208
77,2,196,191,195
270,25,213,160,142
283,11,150,169,139
55,1,176,167,168
199,31,255,227,233
40,18,225,207,205
187,20,218,73,86
120,13,229,194,188
179,24,212,180,217
248,7,208,200,198
28,4,184,164,166
132,11,218,179,162
240,39,179,170,173
257,38,173,164,167
112,1,192,201,218
204,5,232,209,215
154,40,204,192,196
6,27,173,107,119
20,12,232,184,182
143,34,236,224,228
135,30,232,233,227
84,18,216,157,201
226,7,226,214,214
240,12,217,204,198
110,26,199,185,200
250,33,210,201,204
224,3,206,198,196
255,30,226,210,211
31,19,205,205,193
245,21,238,213,217
160,23,230,226,255
88,38,204,192,196
146,7,251,184,193
212,34,232,218,218
251,1,173,162,168
138,7,255,190,202
133,39,211,199,203
205,10,239,225,222
252,5,197,188,189
129,31,255,217,221
231,0,177,172,169
105,23,240,225,248
129,17,250,191,175
214,10,217,217,207
247,27,178,159,161
88,3,213,196,202
149,8,247,191,200
123,1,195,199,210
237,11,233,217,218
101,22,220,205,228
274,38,162,153,156
115,14,229,169,143
220,10,239,224,231
298,0,128,120,118
34,36,183,174,177
221,35,234,205,191
16,5,172,168,165
23,0,146,140,144
220,2,202,190,194
203,27,199,137,150
80,27,235,214,219
90,1,210,185,191
105,27,241,228,238
39,38,173,164,167
154,15,238,163,194
252,24,236,216,218
148,2,214,211,206
139,4,227,217,216
291,34,166,151,156
214,27,228,231,214
285,28,182,184,171
258,6,207,183,196
272,20,219,176,133
69,11,187,202,173
144,39,213,201,205
150,25,233,234,239
172,22,147,183,199
247,1,178,165,172
228,13,246,227,229
161,2,214,208,210
18,40,142,133,136
105,29,238,226,228
40,9,170,151,153
164,13,180,199,216
21,1,152,143,146
254,34,202,193,196
169,19,241,228,248
48,18,241,206,213
161,6,239,226,220
97,15,238,227,223
238,38,181,183,178
210,34,230,219,223
208,31,255,234,231
100,27,242,229,239
103,29,243,231,233
99,3,216,204,208
177,31,245,231,228
270,9,213,189,189
137,27,231,175,186
2,14,167,129,128
170,21,208,219,239
267,25,235,195,185
207,22,240,167,178
253,6,202,192,193
248,29,232,216,217
222,26,249,226,232
86,5,214,212,215
88,17,229,137,188
85,29,233,233,233
134,33,239,227,231
6,3,141,143,138
35,2,176,161,156
141,26,245,227,227
120,6,237,223,223
203,3,219,202,208
243,24,207,187,189
275,24,240,177,146
141,6,245,199,209
138,21,225,118,134
125,4,229,213,213
275,28,214,185,179
264,29,251,188,215
65,22,228,238,213
112,7,238,223,228
271,25,218,152,136
187,12,255,222,223
215,6,222,212,213
208,16,243,199,196
68,28,207,211,196
108,14,232,219,229
293,0,129,125,122
90,11,205,149,176
98,7,236,224,228
287,31,184,170,161
191,17,234,187,193
37,25,224,211,203
35,32,206,197,200
291,5,171,161,160
87,25,249,227,239
189,39,207,195,199
66,30,229,220,215
282,40,142,133,136
195,18,243,125,147
71,18,235,236,222
129,9,230,162,159
9,7,168,132,136
102,31,239,228,226
278,21,215,155,131
116,29,245,226,230
234,28,233,212,211
217,1,197,182,187
250,18,222,195,200
186,9,237,233,222
44,6,202,191,195
242,38,185,176,179
294,23,142,122,123
37,14,236,210,211
206,10,238,229,224
88,26,241,209,224
292,27,115,89,90
168,4,218,219,213
161,34,238,226,230
204,2,207,196,202
62,10,163,175,153
85,17,211,141,191
281,29,198,195,186
130,33,239,227,231
178,40,200,188,192
208,11,226,239,213
294,31,133,113,114
24,9,164,134,123
65,18,252,217,247
105,34,231,219,223
171,31,229,235,231
162,18,149,189,201
263,39,163,154,157
253,30,221,205,206
268,14,229,186,170
36,36,184,175,178
22,23,191,167,157
169,22,231,220,250
128,36,227,215,219
229,38,198,187,183
174,12,244,229,234
93,7,234,208,221
270,21,229,191,152
76,7,229,199,207
161,12,237,222,227
140,9,223,123,147
218,6,226,214,218
299,28,187,178,181
145,12,255,210,206
151,24,242,229,238
282,13,151,174,132
251,18,246,219,224
192,40,198,186,190
157,9,209,148,179
136,5,237,226,224
267,11,228,200,196
75,12,251,212,231
253,15,199,146,154
14,26,192,116,128
226,21,243,233,242
8,28,206,145,160
277,4,169,163,167
50,28,222,221,216
297,10,183,171,171
108,34,231,219,223
89,28,254,216,227
161,22,198,204,238
78,6,231,199,212
21,2,161,152,153
9,2,146,134,136
271,32,201,192,195
254,29,227,211,212
99,17,193,179,192
187,8,240,235,231
79,31,236,218,218
223,12,246,226,238
292,7,145,129,130
146,10,232,139,150
81,40,186,174,178
280,40,144,135,138
1,22,208,173,169
242,29,234,218,219
118,21,255,215,201
283,33,181,172,175
27,3,173,159,159
147,25,227,236,241
100,5,224,211,218
201,28,226,200,201
172,2,214,205,206
155,14,201,140,171
201,19,179,85,99
249,17,158,129,134
242,36,201,192,195
2,17,189,128,146
259,22,222,181,177
265,10,203,181,184
80,4,226,194,205
117,4,239,211,199
218,40,183,177,181
226,6,221,211,210
18,17,207,127,130
79,4,215,198,204
215,38,199,193,197
214,32,227,207,200
178,35,230,218,222
283,8,172,171,166
258,28,215,175,183
146,19,230,154,158
25,32,199,190,193
272,1,157,148,149
236,6,215,205,204
49,29,213,220,204
109,39,205,193,197
99,21,187,172,193
244,24,241,221,223
189,9,236,230,230
128,29,255,224,227
194,19,255,177,188
174,29,255,223,222
64,13,234,222,224
254,2,179,170,175
256,10,192,115,125
235,16,217,202,207
182,26,198,155,164
142,28,240,228,230
117,31,241,225,235
38,33,203,194,197
55,31,236,209,228
137,2,205,214,209
174,37,221,209,213
142,0,217,182,189
127,29,245,226,230
234,29,242,222,223
184,40,198,186,190
57,3,191,183,180
211,23,180,196,170
103,11,184,168,197
53,14,213,194,188
47,27,199,172,179
205,3,218,201,207
95,1,187,198,192
135,32,240,228,232
49,32,215,206,209
56,37,193,184,187
220,32,214,177,158
290,28,196,168,167
109,28,231,218,225
189,3,223,206,212
78,36,214,205,208
244,22,236,211,215
186,37,221,209,213
213,22,179,209,185
46,21,228,195,204
236,15,213,193,195
6,24,214,130,143
88,37,212,200,204
177,22,171,130,198
103,35,226,214,218
206,18,221,61,97
171,5,223,222,217
139,37,222,210,214
253,14,161,110,117
297,4,152,144,142
175,0,201,188,197
104,21,201,186,207
47,14,238,221,229
239,6,214,204,203
220,21,247,226,243
225,11,241,225,226
162,30,172,190,200
295,35,165,150,155
231,7,223,211,211
280,35,176,167,170
21,31,189,187,192
239,10,230,214,215
127,24,254,214,204
266,35,185,176,179
298,1,134,126,124
154,32,217,191,200
197,15,196,104,125
56,35,205,196,199
229,4,208,200,198
200,7,241,222,224
149,4,224,221,214
115,31,243,227,237
117,18,238,200,189
16,29,200,183,193
36,19,240,216,212
133,1,221,193,205
208,21,241,220,203
110,12,245,234,232
238,23,241,209,198
5,7,179,128,137
153,35,239,218,225
240,29,234,218,219
2,36,154,145,148
17,7,186,176,177
181,34,233,221,225
298,39,135,124,128
91,34,228,216,220
135,17,255,207,196
144,36,227,216,220
154,33,233,207,216
83,15,220,203,219
199,32,238,226,230
7,34,169,160,163
58,1,183,175,172
20,22,226,184,194
297,20,206,191,194
158,0,200,188,190
12,29,211,182,187
155,20,201,142,172
229,16,247,231,232
289,17,222,192,192
5,15,193,109,124
246,4,197,188,191
14,23,200,116,129
291,36,163,151,155
77,8,222,179,198
73,15,251,233,231
111,13,244,233,227
120,34,237,225,229
53,8,187,173,172
272,17,218,187,156
264,18,218,109,128
222,29,245,213,192
107,13,222,207,226
281,23,207,201,175
26,8,180,149,146
138,4,224,220,217
104,7,232,218,233
271,2,163,151,165
120,7,243,225,225
185,22,245,126,132
165,10,241,222,242
152,17,255,204,232
232,19,227,211,212
133,14,228,217,189
11,33,177,168,171
139,31,255,221,233
173,25,198,229,234
93,22,245,203,239
230,30,240,207,198
70,8,191,207,178
0,0,142,104,115
156,9,199,140,168
216,20,228,238,229
12,35,167,158,161
113,2,204,206,218
176,22,207,161,234
272,5,178,172,174
203,40,194,182,186
291,19,166,140,139
4,34,166,157,160
284,40,139,130,133
166,40,204,192,196
261,36,187,178,181
83,32,232,220,224
200,37,216,204,208
50,35,202,193,196
215,5,218,206,208
164,38,217,205,209
153,24,239,196,215
31,22,209,231,219
134,37,221,209,213
251,10,229,203,204
77,15,227,153,214
293,37,152,140,144
230,21,235,220,223
95,8,237,221,231
122,19,238,198,186
86,0,178,183,179
107,0,197,185,187
40,15,194,172,175
246,17,194,165,170
229,35,225,200,195
115,36,227,215,219
56,27,232,221,227
137,8,239,156,172
219,29,255,204,193
121,31,243,227,237
286,35,169,160,163
135,24,255,193,204
105,28,239,226,233
194,17,255,205,207
40,5,195,181,181
272,36,176,167,170
72,22,181,186,164
95,25,215,189,214
94,8,240,218,230
88,14,247,203,228
222,35,235,203,190
231,40,175,171,168
255,19,216,189,194
69,25,163,184,151
218,16,244,231,223
62,4,197,197,187
26,26,219,139,128
3,36,155,146,149
269,23,203,177,142
259,12,224,142,148
277,5,177,168,171
89,36,219,207,211
231,30,246,217,211
9,27,179,102,118
119,40,200,188,192
184,33,237,225,229
279,2,160,151,154
143,29,245,228,234
49,30,210,219,198
146,38,216,204,208
64,27,180,190,163
93,4,217,205,209
197,28,234,231,224
201,39,201,189,193
177,28,231,210,225
66,5,198,209,192
132,34,237,225,229
188,22,235,111,121
37,39,166,157,160
237,29,236,224,228
33,27,189,166,160
285,3,161,150,154
286,13,124,177,125
267,27,231,201,199
166,28,210,226,249
262,31,202,202,214
244,36,200,191,194
63,18,234,228,228
33,18,217,183,181
285,30,195,193,180
279,33,189,180,183
206,12,255,218,222
178,37,221,209,213
202,9,248,230,230
115,26,212,181,176
93,26,242,204,225
2,39,137,128,131
259,30,192,225,216
200,40,196,184,188
79,1,185,186,188
205,16,196,110,119
273,4,172,166,170
33,26,181,156,151
138,31,255,227,235
26,31,209,188,193
209,5,221,211,212
191,11,245,214,229
119,5,241,220,215
65,19,246,222,238
211,4,217,205,209
221,7,229,214,221
273,36,175,166,169
199,37,219,207,211
191,9,237,231,235
58,13,162,167,147
2,8,179,134,139
245,29,239,223,224
192,29,227,230,221
167,29,244,225,255
16,20,184,68,115
28,36,178,169,172
103,33,235,223,227
94,40,194,182,186
73,37,204,195,198
229,37,211,196,191
258,33,204,195,198
173,11,255,229,240
82,8,242,222,233
23,2,162,153,156
273,2,163,154,157
12,12,208,173,171
171,18,156,203,209
212,21,160,184,160
1,21,203,175,171
137,29,253,222,228
192,16,195,213,187
220,17,249,228,225
243,39,177,168,171
62,22,209,240,206
206,16,215,102,120
86,10,241,227,240
235,0,175,170,167
46,36,194,185,188
67,27,173,186,160
122,10,245,232,241
44,21,185,158,163
237,5,209,199,198
83,20,249,213,239
85,11,234,226,237
66,10,191,206,185
63,2,187,183,174
156,24,208,161,181
138,10,220,96,124
107,35,228,216,220
277,23,219,149,124
186,11,246,226,217
29,2,168,158,157
253,10,237,208,210
160,29,233,214,236
216,9,232,224,221
119,3,220,205,202
174,22,213,202,236
292,35,171,156,161
193,32,238,226,230
97,4,218,206,210
189,4,230,209,216
69,4,200,200,192
204,20,205,125,136
272,40,150,141,144
34,16,213,182,179
123,19,251,211,199
201,31,255,216,228
93,21,246,205,239
270,30,208,201,195
199,11,255,219,224
30,37,173,164,167
199,26,199,91,117
56,3,190,182,180
233,40,173,172,168
288,15,211,174,182
0,21,202,183,176
46,24,184,154,162
129,11,235,147,143
293,27,97,76,75
86,37,212,200,204
5,20,193,121,135
136,27,247,196,205
164,18,166,217,218
71,16,234,230,221
107,27,242,229,239
235,33,222,206,207
94,15,255,217,242
74,9,237,219,215
254,28,231,215,216
9,16,188,214,205
78,26,203,157,183
51,7,214,195,199
